INFO 2024-09-29 15:34:41,241 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-29 15:34:41,241 autoreload Waiting for apps ready_event.
DEBUG 2024-09-29 15:34:41,555 autoreload Main Django thread has terminated before apps are ready.
DEBUG 2024-09-29 15:34:41,577 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-09-29 15:34:41,751 autoreload File D:\Django\project\inv_management\myenv\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1727594786.278597
DEBUG 2024-09-29 15:34:41,767 autoreload File C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\email\base64mime.py first seen with mtime 1712654418.0
DEBUG 2024-09-29 15:34:41,767 autoreload File C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\email\header.py first seen with mtime 1712654418.0
DEBUG 2024-09-29 15:34:41,767 autoreload File D:\Django\project\inv_management\myenv\Lib\site-packages\django\forms\__init__.py first seen with mtime 1727594788.5597558
DEBUG 2024-09-29 15:34:41,767 autoreload File C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\contextlib.py first seen with mtime 1712654418.0
DEBUG 2024-09-29 15:34:41,767 autoreload File D:\Django\project\inv_management\myenv\Lib\site-packages\django\db\models\expressions.py first seen with mtime 1727594786.4817631
DEBUG 2024-09-29 15:34:41,767 autoreload File D:\Django\project\inv_management\manage.py first seen with mtime 1727594860.123396
DEBUG 2024-09-29 15:34:41,767 autoreload File C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\email\_parseaddr.py first seen with mtime 1712654418.0
DEBUG 2024-09-29 15:34:41,767 autoreload File C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\warnings.py first seen with mtime 1717683852.0
DEBUG 2024-09-29 15:34:41,767 autoreload File D:\Django\project\inv_management\myenv\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1727594786.3410923
DEBUG 2024-09-29 15:34:41,767 autoreload File D:\Django\project\inv_management\myenv\Lib\site-packages\django\apps\__init__.py first seen with mtime 1727594777.7758565
DEBUG 2024-09-29 15:34:41,767 autoreload File C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\json\__init__.py first seen with mtime 1712654418.0
DEBUG 2024-09-29 15:34:41,767 autoreload File C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\asyncio\protocols.py first seen with mtime 1712654418.0
DEBUG 2024-09-29 15:34:41,767 autoreload File C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\http\client.py first seen with mtime 1712654418.0
DEBUG 2024-09-29 15:34:41,767 autoreload File D:\Django\project\inv_management\myenv\Lib\site-packages\django\dispatch\__init__.py first seen with mtime 1727594788.2628288
DEBUG 2024-09-29 15:34:41,767 autoreload File C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\email\headerregistry.py first seen with mtime 1712654418.0
DEBUG 2024-09-29 15:34:41,767 autoreload File D:\Django\project\inv_management\myenv\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1727594786.3098445
DEBUG 2024-09-29 15:34:41,767 autoreload File D:\Django\project\inv_management\myenv\Lib\site-packages\sqlparse\filters\tokens.py first seen with mtime 1727594776.5103245
DEBUG 2024-09-29 15:34:41,767 autoreload File D:\Django\project\inv_management\myenv\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1727594776.5103245
DEBUG 2024-09-29 15:34:41,773 autoreload File D:\Django\project\inv_management\myenv\Lib\site-packages\django\template\loaders\filesystem.py first seen with mtime 1727594790.0126972
DEBUG 2024-09-29 15:34:41,773 autoreload File C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\ssl.py first seen with mtime 1712654418.0
DEBUG 2024-09-29 15:34:41,774 autoreload File C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\weakref.py first seen with mtime 1712654418.0
DEBUG 2024-09-29 15:34:41,774 autoreload File C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\email\mime\multipart.py first seen with mtime 1712654418.0
DEBUG 2024-09-29 15:34:41,775 autoreload File D:\Django\project\inv_management\myenv\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1727594777.7758565
DEBUG 2024-09-29 15:34:41,775 autoreload File D:\Django\project\inv_management\myenv\Lib\site-packages\django\db\models\enums.py first seen with mtime 1727594786.4817631
DEBUG 2024-09-29 15:34:41,775 autoreload File D:\Django\project\inv_management\myenv\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1727594778.1039574
